-2.5729504224340852e+23,6.259497090179812e+22,-1.9470007134161043e+23,0.5
-2.5729609438198484e+23,6.259549785124126e+22,-1.947005965307436e+23,1.0
-2.5729719749656103e+23,6.259605023735313e+22,-1.947011472592079e+23,1.5
-2.5729835802837583e+23,6.259663128248594e+22,-1.9470172674588984e+23,2.0
-2.5729958170183358e+23,6.259724385076834e+22,-1.9470233785106524e+23,2.5
-2.573008735708022e+23,6.25978904711981e+22,-1.9470298309960412e+23,3.0
-2.573022380653092e+23,6.25985733609418e+22,-1.9470366470436743e+23,3.5
-2.573036790379224e+23,6.25992944484849e+22,-1.947043845894376e+23,4.0
-2.5730519980925004e+23,6.260005539634824e+22,-1.947051444129018e+23,4.5
-2.573068032121201e+23,6.260085762315079e+22,-1.9470594558896926e+23,5.0
-2.5730849163411357e+23,6.260170232485417e+22,-1.9470678930925937e+23,5.5
-2.573102670582134e+23,6.260259049506975e+22,-1.9470767656314362e+23,6.0
-2.5731213110140844e+23,6.260352294434689e+22,-1.9470860815706153e+23,6.5
-2.5731408505114573e+23,6.260450031838767e+22,-1.9470958473275803e+23,7.0
-2.5731612989956308e+23,6.260552311515422e+22,-1.9471060678440876e+23,7.5
-2.5731826637546196e+23,6.260659170084809e+22,-1.947116746746139e+23,8.0
-2.5732049497399952e+23,6.260770632475007e+22,-1.947127886492494e+23,8.5
-2.5732281598409367e+23,6.260886713291927e+22,-1.9471394885117447e+23,9.0
-2.573252295135572e+23,6.261007418075783e+22,-1.947151553327994e+23,9.5
-2.5732773551200162e+23,6.261132744446329e+22,-1.9471640806753824e+23,10.0
-2.5733033379158328e+23,6.261262683140448e+22,-1.9471770696017883e+23,10.5
-2.5733302404570318e+23,6.261397218947565e+22,-1.9471905185622746e+23,11.0
-2.5733580586579896e+23,6.261536331549937e+22,-1.947204425502995e+23,11.5
-2.5733867875639937e+23,6.261679996276074e+22,-1.947218787936386e+23,12.0
-2.5734164214861545e+23,6.2618281847760785e+22,-1.9472336030085464e+23,12.5
-2.5734469541224952e+23,6.261980865627759e+22,-1.947248867559719e+23,13.0
-2.5734783786668088e+23,6.2621380048815735e+22,-1.947264578178651e+23,13.5
-2.5735106879067567e+23,6.262299566551639e+22,-1.9472807312515924e+23,14.0
-2.573543874312379e+23,6.262465513058728e+22,-1.9472973230065052e+23,14.5
-2.573577930116031e+23,6.2626358056302796e+22,-1.9473143495530028e+23,15.0
-2.5736128473845314e+23,6.2628104046614636e+22,-1.947331806918385e+23,15.5
-2.5736486180841988e+23,6.262989270040618e+22,-1.9473496910801374e+23,16.0
-2.573685234139353e+23,6.263172361441987e+22,-1.947367997995154e+23,16.5
-2.5737226874847896e+23,6.263359638588322e+22,-1.9473867236259573e+23,17.0
-2.573760970112707e+23,6.263551061485743e+22,-1.9474058639641322e+23,17.5
-2.5738000741145363e+23,6.263746590633109e+22,-1.947425415051225e+23,18.0
-2.5738399917181198e+23,6.2639461872081e+22,-1.94744537299731e+23,18.5
-2.573880715320641e+23,6.264149813232101e+22,-1.9474657339974306e+23,19.0
-2.573922237517724e+23,6.264357431715908e+22,-1.9474864943461333e+23,19.5
-2.573964551129091e+23,6.2645690067881745e+22,-1.9475076504502724e+23,20.0
-2.57400764922112e+23,6.264784503808448e+22,-1.9475291988402752e+23,20.5
-2.5740515251266717e+23,6.265003889466412e+22,-1.9475511361800303e+23,21.0
-2.574096172462474e+23,6.265227131869013e+22,-1.947573459275572e+23,21.5
-2.5741415851443563e+23,6.265454200616795e+22,-1.9475961650826763e+23,22.0
-2.5741877574006083e+23,6.265685066870776e+22,-1.947619250713531e+23,22.5
-2.5742346837836468e+23,6.2659197034109575e+22,-1.947642713442551e+23,23.0
-2.5742823591802322e+23,6.2661580846874954e+22,-1.9476665507114834e+23,23.5
-2.5743307788203686e+23,6.2664001868652725e+22,-1.9476907601338417e+23,24.0
-2.5743799382850194e+23,6.266645987862597e+22,-1.9477153394987596e+23,24.5
-2.5744298335127696e+23,6.266895467384543e+22,-1.947740286774315e+23,25.0
-2.5744804608054867e+23,6.267148606951329e+22,-1.9477656001103534e+23,25.5
-2.5745318168330546e+23,6.267405389922026e+22,-1.947791277840852e+23,26.0
-2.574583898637223e+23,6.267665801513843e+22,-1.947817318485838e+23,26.5
-2.574636703634605e+23,6.267929828817163e+22,-1.947843720752889e+23,27.0
-2.5746902296188598e+23,6.268197460806457e+22,-1.9478704835382137e+23,27.5
-2.5747444747620885e+23,6.268468688347341e+22,-1.947897605927354e+23,28.0
-2.574799437615495e+23,6.268743504199897e+22,-1.9479250871955053e+23,28.5
-2.5748551171093726e+23,6.26902190301864e+22,-1.947952926807509e+23,29.0
-2.5749115125524735e+23,6.269303881349424e+22,-1.9479811244175313e+23,29.5
-2.574968623630862e+23,6.269589437623774e+22,-1.948009679868484e+23,30.0
-2.575026450406346e+23,6.269878572151069e+22,-1.948038593191239e+23,30.5
-2.5750849933146048e+23,6.270171287109257e+22,-1.948067864603679e+23,31.0
-2.5751442531631245e+23,6.27046758653459e+22,-1.9480974945096655e+23,31.5
-2.5752042311290882e+23,6.270767476311128e+22,-1.9481274834979753e+23,32.0
-2.5752649287573414e+23,6.271070964160616e+22,-1.9481578323412803e+23,32.5
-2.575326347958566e+23,6.271378059633398e+22,-1.948188541995227e+23,33.0
-2.5753884910077934e+23,6.271688774101013e+22,-1.9482196135976924e+23,33.5
-2.5754513605433442e+23,6.272003120750924e+22,-1.9482510484682516e+23,34.0
-2.5755149595662862e+23,6.272321114583736e+22,-1.9482828481079123e+23,34.5
