Sun,-.001310282931916457,.007543411568905309,-.00004307531407622451,-.000008200900529168368,.0000001309381193228258,.0000002132289683093805,1988500000000000000000000000000
Mercury,-.3233360877974629,.1527510239398327,.04136418398269071,-.01736716774557382,-.02445351733550764,-.0004056071916762118,330200000000000000000000
Venus,-.2352768270030395,-.6794073688158465,.004032765269736779,.01900117254140789,-.006605131130979226,-.001187421540063404,4868500000000000000000000
Earth,-.9790220710772438,.1823521227400975,-.00004544860283023600,-.003312399386234016,-.01700453147580698E-02,.0000008195787822577858,5972190000000000000000000
Mars,.3004217834336229,1.519190382213358,.02422762566231440,-.01320242386679431,.003929908517819669,.0004062785196548672,641710000000000000000000
Jupiter,-1.654862633984812,-5.058173304602712,.05799569428189170,.007081838344169993,-.001986504479619625,-.0001501505546614456,1898130000000000000000000000
Saturn,2.313722624492325,-9.779076985144508,.07793188659474000,.005120903100356250,.001266448527461845,-.0002255590863643426,5.68340000000000000000000000
Uranus,16.87175030037889,10.46941153233029,-.1796919349071361,-.002102580326819474,.003158627196587115,.00003899505131150003,86813000000000000000000000
Neptune,29.03357174802149,-7.270000231493690,-.5193956538111938,.0007420746139888648,.003064076248707717,-.00008025576989846692,102413000000000000000000000
Pluto,12.08897102525054,-31.50962576613466,-.1251338438184048,.002994467182274156,.0004498942647729018,-.0009240312543422641,13070000000000000000000
